patient,sample,lane,fastq_1,fastq_2
A,0_05pct-10k-LEV,L1,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-10k-LEV_S6_L001_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-10k-LEV_S6_L001_R2_001.fastq.gz
A,0_05pct-10k-LEV,L2,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-10k-LEV_S6_L002_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-10k-LEV_S6_L002_R2_001.fastq.gz
A,0_05pct-10k-LEV,L3,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-10k-LEV_S6_L003_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-10k-LEV_S6_L003_R2_001.fastq.gz
A,0_05pct-10k-LEV,L4,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-10k-LEV_S6_L004_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-10k-LEV_S6_L004_R2_001.fastq.gz
B,0_05pct-2k-AB,L1,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-2k-AB_S3_L001_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-2k-AB_S3_L001_R2_001.fastq.gz
B,0_05pct-2k-AB,L2,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-2k-AB_S3_L002_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-2k-AB_S3_L002_R2_001.fastq.gz
B,0_05pct-2k-AB,L3,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-2k-AB_S3_L003_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-2k-AB_S3_L003_R2_001.fastq.gz
B,0_05pct-2k-AB,L4,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-2k-AB_S3_L004_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-2k-AB_S3_L004_R2_001.fastq.gz
C,0_05pct-SEC-SEV,L1,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-SEC-SEV_S9_L001_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-SEC-SEV_S9_L001_R2_001.fastq.gz
C,0_05pct-SEC-SEV,L2,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-SEC-SEV_S9_L002_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-SEC-SEV_S9_L002_R2_001.fastq.gz
C,0_05pct-SEC-SEV,L3,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-SEC-SEV_S9_L003_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-SEC-SEV_S9_L003_R2_001.fastq.gz
C,0_05pct-SEC-SEV,L4,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-SEC-SEV_S9_L004_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_05pct-SEC-SEV_S9_L004_R2_001.fastq.gz
D,0_2pct-10k-LEV,L1,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-10k-LEV_S5_L001_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-10k-LEV_S5_L001_R2_001.fastq.gz
D,0_2pct-10k-LEV,L2,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-10k-LEV_S5_L002_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-10k-LEV_S5_L002_R2_001.fastq.gz
D,0_2pct-10k-LEV,L3,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-10k-LEV_S5_L003_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-10k-LEV_S5_L003_R2_001.fastq.gz
D,0_2pct-10k-LEV,L4,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-10k-LEV_S5_L004_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-10k-LEV_S5_L004_R2_001.fastq.gz
E,0_2pct-2k-AB,L1,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-2k-AB_S2_L001_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-2k-AB_S2_L001_R2_001.fastq.gz
E,0_2pct-2k-AB,L2,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-2k-AB_S2_L002_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-2k-AB_S2_L002_R2_001.fastq.gz
E,0_2pct-2k-AB,L3,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-2k-AB_S2_L003_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-2k-AB_S2_L003_R2_001.fastq.gz
E,0_2pct-2k-AB,L4,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-2k-AB_S2_L004_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-2k-AB_S2_L004_R2_001.fastq.gz
F,0_2pct-SEC-SEV,L1,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-SEC-SEV_S8_L001_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-SEC-SEV_S8_L001_R2_001.fastq.gz
F,0_2pct-SEC-SEV,L2,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-SEC-SEV_S8_L002_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-SEC-SEV_S8_L002_R2_001.fastq.gz
F,0_2pct-SEC-SEV,L3,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-SEC-SEV_S8_L003_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-SEC-SEV_S8_L003_R2_001.fastq.gz
F,0_2pct-SEC-SEV,L4,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-SEC-SEV_S8_L004_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/0_2pct-SEC-SEV_S8_L004_R2_001.fastq.gz
G,1pct-10k-LEV,L1,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-10k-LEV_S4_L001_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-10k-LEV_S4_L001_R2_001.fastq.gz
G,1pct-10k-LEV,L2,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-10k-LEV_S4_L002_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-10k-LEV_S4_L002_R2_001.fastq.gz
G,1pct-10k-LEV,L3,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-10k-LEV_S4_L003_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-10k-LEV_S4_L003_R2_001.fastq.gz
G,1pct-10k-LEV,L4,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-10k-LEV_S4_L004_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-10k-LEV_S4_L004_R2_001.fastq.gz
H,1pct-2k-AB,L1,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-2k-AB_S1_L001_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-2k-AB_S1_L001_R2_001.fastq.gz
H,1pct-2k-AB,L2,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-2k-AB_S1_L002_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-2k-AB_S1_L002_R2_001.fastq.gz
H,1pct-2k-AB,L3,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-2k-AB_S1_L003_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-2k-AB_S1_L003_R2_001.fastq.gz
H,1pct-2k-AB,L4,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-2k-AB_S1_L004_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-2k-AB_S1_L004_R2_001.fastq.gz
I,1pct-SEC-SEV,L1,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-SEC-SEV_S7_L001_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-SEC-SEV_S7_L001_R2_001.fastq.gz
I,1pct-SEC-SEV,L2,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-SEC-SEV_S7_L002_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-SEC-SEV_S7_L002_R2_001.fastq.gz
I,1pct-SEC-SEV,L3,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-SEC-SEV_S7_L003_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-SEC-SEV_S7_L003_R2_001.fastq.gz
I,1pct-SEC-SEV,L4,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-SEC-SEV_S7_L004_R1_001.fastq.gz,/mmfs1/equipment/cpmnextseqNB501047/241026_NB501047_0422_AHMYLMAFX5/Data/Intensities/BaseCalls/1pct-SEC-SEV_S7_L004_R2_001.fastq.gz